"","0","1","2","3"
"1",0.809519902004139,0.0884307079976131,0.0628367272441501,0.0392126627540979
"2",0.825173617530365,0.0810487277778492,0.0586342294969861,0.0351434251948002
"3",0.813981850004551,0.0863270693887422,0.0616489207202781,0.038042159886429
"4",0.800195512414705,0.0928252221274945,0.0652937446983223,0.0416855207594784
"5",0.780377100243464,0.10215716284251,0.0704065447724861,0.0470591921415396
"6",0.813525359437111,0.0865423081433955,0.0617708061047562,0.0381615263147376
"7",0.827926024790742,0.0797502652734685,0.0578849016880659,0.0344388082477233
"8",0.823968745333872,0.0816170924285956,0.0589612529593294,0.0354529092782026
"13",0.843886173976155,0.0722189704905739,0.0534757095450623,0.0304191459882084
"14",0.831939822384354,0.0778565244604358,0.056786431944943,0.033417221210267
"15",0.802375378797364,0.0917980710510314,0.0647223565041768,0.0411041936474274
"16",0.795402455856389,0.0950832395884762,0.0665437255741158,0.0429705789810188
"17",0.849985537329621,0.0693401938271017,0.0517607367366449,0.0289135321066324
"18",0.800566286820898,0.0926505227075977,0.0651966857240572,0.0415865047474474
"19",0.77380782664583,0.105247590784355,0.0720695325150867,0.0488750500547276
"20",0.780894881560285,0.101913514973686,0.0702748090700741,0.0469167943959549
"22",0.82099522390529,0.0830196564399115,0.0597657454232699,0.0362193742315289
"23",0.811336012170927,0.0875745366712262,0.0623542180569176,0.0387352331009287
"26",0.737520516329566,0.122287718444776,0.0809841558580913,0.0592076093675668
"27",0.80653486698071,0.0898377744350955,0.063626977984708,0.0400003805994868
"34",0.798669760875599,0.0935440771121403,0.0656925932102413,0.0420935688020195
"36",0.778417298729226,0.103079285527186,0.0709042859266517,0.0475991298169362
"41",0.835939847458463,0.0759690618073308,0.0556848622967432,0.0324062284374627
"44",0.836003203966958,0.0759391646489425,0.0556673587156801,0.0323902726684196
"45",0.852205824135334,0.0682922251742607,0.0511321858771049,0.0283697648133003
"47",0.84729000383289,0.0706124550030823,0.0525207492820907,0.0295767918819374
"48",0.760283900618122,0.111604674789092,0.0754448849787993,0.0526665396139865
"49",0.764421489894097,0.109660507207835,0.0744190130715537,0.0514989898265144
"55",0.810980994302768,0.0877419093315606,0.0624486428210349,0.0388284535446368
"56",0.783706738372879,0.10059020433447,0.0695577057199266,0.046145351572724
"57",0.774824653984439,0.104769338853395,0.0718131387136096,0.0485928684485565
"59",0.831486870225061,0.0780702424753712,0.0569107364205798,0.0335321508789882
"60",0.796947259865236,0.0943555513944224,0.0661418087320683,0.0425553800082729
"61",0.825806821693303,0.080750021495233,0.0584621242202354,0.0349810325912285
"62",0.813595646602005,0.0865091675151545,0.0617520444896719,0.038143141393169
"64",0.826504511387601,0.080420887175994,0.0582722975908437,0.034802303845561
"66",0.86163475685046,0.0638417892008917,0.0484367651913779,0.0260866887572704
"70",0.851682499569956,0.0685392338668788,0.051280543937424,0.0284977226257413
"71",0.801306236571066,0.0923018660426975,0.0650028288608219,0.0413890685254146
"72",0.750240860637514,0.116320753982736,0.0779104114604979,0.055527973919252
"74",0.785905434881926,0.0995552736437589,0.0689949644944671,0.0455443269798479
"76",0.748839032474851,0.116978691119562,0.0782518182618017,0.0559304581437853
"79",0.801712300497702,0.0921105265902095,0.0648963562635634,0.0412808166485249
"81",0.817774447412879,0.0845386568152686,0.0606330390912034,0.0370538566806492
"82",0.755750795220308,0.113733886951921,0.0765620233759139,0.0539532944518567
"83",0.787387815432502,0.0988574249069341,0.0686145575679455,0.0451402020926186
"101",0.747916137436359,0.117411797618403,0.0784762206771095,0.0561958442681292
"106",0.758921732824949,0.112244577873839,0.0757813217853531,0.0530523675158591
"107",0.830935511776182,0.0783303880091921,0.0570619282968696,0.0336721719177561
"134",0.806498680231256,0.0898548305568749,0.0636365365642063,0.0400099526476623
"140",0.845279408747573,0.0715614100042259,0.0530854682886344,0.0300737129595672
"150",0.837643385253659,0.0751651674631788,0.0552136133723876,0.0319778339107744
"151",0.834253522959187,0.0767648000713618,0.0561501037738669,0.0328315731955844
"152",0.863625362322623,0.0629022632345688,0.0478621750854214,0.0256101993573867
"159",0.852176791699058,0.0683059284703124,0.0511404196956183,0.0283768601350115
"161",0.849426076487587,0.0696042553723329,0.0519187544823591,0.0290509136577212
"167",0.820825065847112,0.0830999123897635,0.0598116718529585,0.0362633499101659
"170",0.861057500370179,0.0641142466747145,0.0486030236350641,0.0262252293200423
"172",0.81338472198545,0.0866086188312825,0.0618083402564317,0.0381983189268355
"176",0.842727331792556,0.0727658950437026,0.0537996300883467,0.0307071430753944
"177",0.810874386059144,0.0877921690599944,0.0624769878622198,0.0388564570186415
"188",0.80664339541557,0.0897866208671905,0.0635983075834904,0.0399716761337496
"190",0.775149329504911,0.104616623895901,0.0717311937600826,0.0485028528391053
"191",0.771723088263934,0.106228002551201,0.0725940495060942,0.0494548596787702
"192",0.781252813468752,0.101745080673034,0.0701836859720757,0.0468184198861386
"193",0.877000238210692,0.056590592850972,0.0439489982656521,0.0224601706726843
"194",0.808803950820862,0.0887682082798743,0.0630265853285132,0.0394012555707509
"195",0.751985514296703,0.115501794889471,0.0774845801876319,0.0550281106261947
"196",0.760283900618122,0.111604674789092,0.0754448849787993,0.0526665396139865
"197",0.803988978445888,0.0910376622106091,0.064298220046551,0.0406751392969521
"198",0.825573752824806,0.080859969658121,0.058525491956019,0.035040785561054
"199",0.766012030374867,0.108912964237904,0.0740230682962744,0.0510519370909544
"200",0.807040924811709,0.0895992476627391,0.0634932513176924,0.0398665762078595
"201",0.812115195229483,0.0872071817172227,0.0621468019164783,0.0385308211368157
"204",0.812150552025309,0.0871905120118654,0.062137384323347,0.0385215516394782
"205",0.822858384535051,0.0821408513254629,0.0592620906454602,0.0357386734940256
"207",0.797022386276388,0.0943201609334556,0.0661222398135778,0.0425352129765784
"210",0.780656018434717,0.102025915871826,0.0703355935210631,0.0469824721723946
"211",0.849750189387756,0.069451276516876,0.0518272276434397,0.0289713064519287
"212",0.817705419031043,0.0845712100915468,0.06065158087283,0.0370717900045801
"214",0.831195158442486,0.0782078803621265,0.0569907449398484,0.0336062162555393
"215",0.840295157244581,0.073913743598749,0.0544775158703423,0.0313135832863279
"224",0.822216523868944,0.082443607818685,0.0594357617448045,0.0359041065675663
"225",0.790906224481834,0.0972008099749924,0.0677084159239493,0.044184549619224
"229",0.831292441658801,0.0781619795161981,0.0569640668717858,0.0335815119532147
"235",0.858783581543582,0.0651875197752837,0.0492563543518999,0.0267725443292347
"236",0.80541061119019,0.0903676613123182,0.0639237069863577,0.040298020511134
"237",0.818601157053932,0.0841487791061949,0.0604108254395008,0.0368392384003718
"239",0.868559490510844,0.0605735790104547,0.0464293501616384,0.0244375803170625
"241",0.806715721196166,0.0897525308191994,0.0635791984315441,0.0399525495530902
"242",0.842451818426121,0.0728959242090508,0.0538765529462438,0.0307757044185844
"243",0.775108763871371,0.104635704628397,0.0717414341926599,0.0485140973075718
"244",0.850953054425981,0.068883530259411,0.0514871212722894,0.0286762940423186
"245",0.805046860107574,0.0905390984270225,0.0640196077962499,0.0403944336691534
"247",0.833324787083085,0.0772030344232552,0.0564058074622081,0.0330663710314512
"250",0.819253501777594,0.0838411224909309,0.0602352835536341,0.0366700921778407
"251",0.858448149113325,0.0653458428791131,0.0493525154394804,0.0268534925680819
"252",0.825307078605915,0.0809857697206972,0.0585979686189877,0.0351091830544003
"255",0.872343108214216,0.0587880541787246,0.0453221612622728,0.0235466763447865
"256",0.796571307121949,0.094532652323679,0.0662397047314959,0.042656335822876
"257",0.850953054425981,0.068883530259411,0.0514871212722894,0.0286762940423186
"258",0.808947310274802,0.0887006294443788,0.0629885849970538,0.0393634752837652
"259",0.863733718683732,0.0628511218871104,0.0478308413039918,0.0255843181251659
"261",0.747519897163245,0.117597738140516,0.0785724783907638,0.0563098863054745
"262",0.83122759128833,0.0781925776853033,0.0569818512993579,0.033597979727009
"263",0.796496052428635,0.094568102235723,0.0662592942051805,0.0426765511304617
"265",0.825540436621872,0.0808756862053677,0.0585345482499349,0.0350493289228258
"266",0.807618004736213,0.089327237335825,0.063340634711425,0.0397141232165368
"267",0.766596068596211,0.108638445513039,0.0738774572115993,0.0508880286791508
"268",0.758623029878751,0.112384888848467,0.07585501168399,0.0531370695887915
"269",0.816632802746777,0.0850770353937781,0.0609394493337905,0.0373507125256548
"270",0.817843454877424,0.0845061133059936,0.0606145009958132,0.0370359308207692
"271",0.838019953175171,0.0749874619185468,0.0551092719242116,0.0318833129820711
"272",0.802264985538401,0.0918500913459186,0.06475133677377,0.0411335863419101
